id,name,type,category,price,price_in_tax,kcal,category_name,サッパリ,がっつり,ネタ,女子
1,きゅうり一本漬,Food,1,310,335,24,まずはコレっ！！,1,,,
2,なす一本漬,Food,1,310,335,49,まずはコレっ！！,1,,,
3,枝豆,Food,1,290,313,142,まずはコレっ！！,,1,,
4,キムチ,Food,1,280,302,91,まずはコレっ！！,,1,,
5,まぐろアボカド（塩麹マヨ）,Food,1,360,389,200,まずはコレっ！！,,,,1
6,うずら玉子醤油漬,Food,1,280,302,128,まずはコレっ！！,,,1,
7,塩キャベツ,Food,1,280,302,74,まずはコレっ！！,1,,,
8,厚揚,Food,1,280,302,234,まずはコレっ！！,,1,,
9,おつまミミガー,Food,1,280,302,92,まずはコレっ！！,,1,,
10,揚ワンタン,Food,1,280,302,178,まずはコレっ！！,,1,,
11,冷しトマト,Food,1,280,302,129,まずはコレっ！！,1,,,
12,明太子塩麹（炙り）,Food,1,280,302,50,まずはコレっ！！,,1,,
13,冷奴,Food,1,280,302,124,まずはコレっ！！,1,,,
14,チョレギサラダ,Food,2,390,421,95,サラダ,1,,,
15,さっぱりレモンサラダ（塩麹ドレッシング）,Food,2,390,421,195,サラダ,1,,,
16,具沢山シーザーサラダ,Food,2,480,518,219,サラダ,,1,,
17,ごろごろサラダ（海老&アボカド&玉子）,Food,2,450,486,283,サラダ,,,,1
18,ローストビーフサラダ,Food,2,580,626,162,サラダ,,,1,1
19,さっぱりヘルシーサラダ（キヌア入り）,Food,2,390,421,195,サラダ,,,,1
20,ベーコンたまごサラダ,Food,2,320,346,255,サラダ,,,1,
21,まぐろ刺身,Food,3,480,518,72,刺身,1,,,
22,厳選〆さば,Food,3,360,389,99,刺身,,1,,
23,刺身三種盛り合せ,Food,3,550,594,120,刺身,1,,,
24,サーモン刺身,Food,3,450,486,150,刺身,,,,1
25,刺身五種盛り合せ,Food,3,990,1069,249,刺身,,1,,
26,真鯛刺身　ポン酢添え,Food,3,480,518,93,刺身,,,1,
27,串焼盛り合せ,Food,4,640,691,530,串焼,1,,,
28,バラエティ盛り合せ,Food,4,1450,1566,1144,串焼,,1,,
29,ねぎ串（１本）,Food,4,130,140,24,串焼,1,,,
30,ねぎ串（１本）（タレ焼）,Food,4,130,140,29,串焼,,1,,
31,鶏皮串（１本）,Food,4,150,162,154,串焼,,1,,
32,鶏皮串（１本）（塩焼）,Food,4,150,162,159,串焼,,1,,
33,特製つくね串（１本）,Food,4,150,162,98,串焼,,1,,
34,特製つくね串（１本）（塩焼）,Food,4,150,162,103,串焼,,1,,
35,室蘭風焼とん串（１本）,Food,4,150,162,178,串焼,,,1,
36,手羽串（１本）,Food,4,240,259,132,串焼,1,,,
37,手羽串（１本）（タレ焼）,Food,4,240,,259,串焼,1,,,
38,ぼんじり串（１本）,Food,4,180,194,164,串焼,,,,1
39,ぼんじり串（１本）（タレ焼）,Food,4,180,194,168,串焼,,,,1
40,ヤゲン串（１本）,Food,4,180,194,54,串焼,,,1,
41,ヤゲン串（１本）（タレ焼）,Food,4,180,194,59,串焼,,,1,
42,鶏せせり串（１本）,Food,4,180,194,64,串焼,,,1,
43,鶏せせり串（１本）（タレ焼）,Food,4,180,194,69,串焼,,,1,
44,四季鶏もも大串（１本）,Food,4,220,238,171,串焼,,1,,
45,四季鶏もも大串（１本）（塩焼）,Food,4,220,238,176,串焼,,1,,
46,砂肝串（１本）,Food,4,180,194,35,串焼,1,,,
47,砂肝串（１本）（タレ焼）,Food,4,180,194,40,串焼,1,,,
48,厚切りベーコン串（１本）,Food,4,150,162,78,串焼,,,1,
49,厚切りベーコン串（１本）（タレ焼）,Food,4,150,162,83,串焼,,,1,
50,牛カルビ串（１本）,Food,4,220,238,134,串焼,,,1,
51,牛カルビ串（１本）（塩焼）,Food,4,220,238,139,串焼,,,1,
52,肉詰ピーマン　チーズ焼（１本）,Food,4,240,259,113,串焼,,,1,
53,子持ちシシャモ,Food,5,300,324,114,焼物,,1,,
54,北海道産　真ほっけ,Food,5,780,842,365,焼物,,1,,
55,エイヒレ,Food,5,360,389,172,焼物,1,,,
56,いか一塩焼,Food,5,420,454,129,焼物,,,1,
57,牛カルビみそ漬焼,Food,5,490,529,387,焼物,,,,1
58,いわし明太,Food,5,390,421,140,焼物,1,,,
59,さばみそ漬焼,Food,5,420,454,315,焼物,,1,,
60,ほうれん草ベーコン,Food,6,300,324,121,旨い物,,,,1
61,レバニラ炒め,Food,6,390,421,370,旨い物,,1,,
62,鉄板餃子,Food,6,340,367,288,旨い物,,1,,
63,赤ウインナー焼,Food,6,290,313,399,旨い物,,,1,
64,自家製出し巻玉子,Food,6,420,454,285,旨い物,1,1,1,1
65,たこチヂミ,Food,6,390,421,259,旨い物,,,1,
66,牛スジ煮込,Food,6,420,454,149,旨い物,,1,,
67,サーロインステーキ(おろしポン酢),Food,6,620,670,527,旨い物,1,,,
68,サーロインステーキ(ガーリック風味),Food,6,620,670,546,旨い物,,1,,
69,トンテキ,Food,6,490,529,347,旨い物,,1,,
70,コーンバター,Food,6,300,324,309,旨い物,,1,,
71,揚出し豆腐,Food,6,300,324,294,旨い物,,1,,
72,やわらか豚ヒレカツ玉子とじ,Food,6,490,529,371,旨い物,,,1,
73,厚切りベーコンステーキ,Food,6,450,486,324,旨い物,,,,1
74,いか肝みそ焼,Food,6,480,518,114,旨い物,,,1,
75,水餃子（ピリ辛ダレ）,Food,6,360,389,251,旨い物,1,,,
76,チョリソー,Food,6,380,410,520,旨い物,1,,,
77,焼肉豆腐,Food,6,360,389,423,旨い物,1,,,
78,牛ホルモン鍋,Food,6,680,734,158,旨い物,,1,,
79,赤魚煮付け,Food,6,480,518,172,旨い物,,,1,
80,ポテトフライ,Food,7,330,356,330,揚物,,1,,
81,鶏軟骨唐揚,Food,7,330,356,168,揚物,,,,1
82,みんなでおつまみ盛り,Food,7,888,959,997,揚物,,1,,
83,黒毛和牛入りメンチカツ,Food,7,350,378,488,揚物,,,1,
84,鶏もも唐揚,Food,7,490,529,574,揚物,,1,,
85,ちくわ磯辺揚,Food,7,250,270,279,揚物,,1,,
86,じゃこ天,Food,7,320,346,217,揚物,1,,,
87,やわらか豚ヒレカツ,Food,7,420,454,266,揚物,,1,,
88,とろろ磯辺揚,Food,7,390,421,370,揚物,,,1,
89,甘えび米粉磯辺揚,Food,7,380,410,181,揚物,,,,1
90,串揚三種,Food,7,350,378,245,揚物,,1,,
91,アジフライ,Food,7,320,346,356,揚物,,1,,
92,もちチー焼,Food,8,420,454,357,鉄板焼,,,1,
93,大盛りもやし炒め,Food,8,380,410,230,鉄板焼,1,,,
94,あらびきウインナー,Food,8,480,518,427,鉄板焼,,1,,
95,鉄板ナポリタン,Food,8,360,389,466,鉄板焼,,,1,
96,ふわふわとろろ芋鉄板焼,Food,8,420,454,180,鉄板焼,,,,1
97,豚バラのからし焼,Food,8,380,410,613,鉄板焼,,,1,
98,スパイシーカレーポテト炒め,Food,8,420,454,448,鉄板焼,,,1,
99,豚キムチ,Food,8,380,410,362,鉄板焼,,1,,
100,バジルピザ,Food,9,380,410,315,ピザ,,,1,
101,ミックスピザ,Food,9,680,734,699,ピザ,,1,,
102,ミックスピザ[ハーフ],Food,9,420,454,342,ピザ,1,,,
103,ローストビーフピザ（こってり味）,Food,9,680,734,723,ピザ,,1,,
104,デザートピザ（北海道産あずき&クリーム）,Food,9,680,734,695,ピザ,,,,
105,ミックスピザ[ハーフ],Food,9,380,410,377,ピザ,,,,
106,ローストビーフピザ（こってり味）[ハーフ],Food,9,380,410,386,ピザ,,,,
107,デザートピザ（北海道産あずき&クリーム）[ハーフ],Food,9,380,410,342,ピザ,,,,
108,塩焼そば,Food,10,390,421,410,お食事,,,,
109,みそ汁,Food,10,50,54,40,お食事,,,,
110,キムチチャーハン,Food,10,420,454,452,お食事,,,,
111,選べるおにぎり（２個）（みそ汁付き）,Food,10,320,346,187,お食事,,,,
112,ライス,Food,10,180,194,425,お食事,,,,
113,お茶漬（さけ）,Food,10,320,346,223,お食事,,,,
114,お茶漬（梅）,Food,10,320,346,202,お食事,,,,
115,お茶漬（明太子）,Food,10,320,346,212,お食事,,,,
116,石焼明太子チーズ（リゾット風）,Food,10,390,421,418,お食事,,,,
117,石焼カルビクッパ,Food,10,480,518,297,お食事,,,,
118,ざるそば,Food,10,300,324,338,お食事,,,,
